size,quicksort_time,quicksort_comparison,quicksort_swap,quicksort_tail_op_time,quicksort_tail_op_comparison,quicksort_tail_op_swap,heapsort_time,heapsort_comparison,heapsort_swap
100000,10.265000,2203506,1122033,10.180000,2203542,1122033,18.314000,4874514,1574838
200000,21.417000,4685533,2137557,21.265000,4685566,2137557,40.655000,10348584,3349528
300000,32.840000,6912792,3488184,32.619000,6912830,3488184,66.751000,16037784,5195928
400000,44.995000,9764944,5035939,45.014000,9764979,5035939,103.769000,21899130,7099710
500000,57.514000,12059875,5995438,57.527000,12059913,5995438,140.639000,27824817,9024939
600000,69.414000,14529948,7595931,68.634000,14529985,7595931,158.180000,33875304,10991768
700000,81.860000,17278095,8818746,82.392000,17278134,8818746,190.818000,40014057,12988019
800000,94.665000,20266547,10393049,94.831000,20266592,10393049,233.423000,46195935,14998645
900000,107.059000,23188680,12243345,106.677000,23188722,12243345,268.898000,52405989,17018663
1000000,118.757000,25647312,13147744,119.325000,25647357,13147744,312.709000,58646580,19048860
1100000,132.452000,30369686,13895599,132.849000,30369728,13895599,329.230000,64954932,21101644
1200000,148.161000,32579311,15932727,148.036000,32579346,15932727,368.342000,71354685,23184895
1300000,159.261000,33365994,15944563,159.111000,33366036,15944563,429.968000,77779443,25276481
1400000,173.761000,36272219,18168653,173.550000,36272259,18168653,469.778000,84233775,27377925
1500000,183.949000,39081832,19226271,183.855000,39081866,19226271,506.138000,90707784,29485928
1600000,198.060000,43400658,21026250,197.729000,43400708,21026250,570.395000,97198596,31599532
1700000,212.669000,45638289,23726766,210.046000,45638327,23726766,596.214000,103703487,33717829
1800000,226.193000,51418699,25020119,227.531000,51418746,25020119,691.599000,110221917,35840639
1900000,237.923000,50052663,24911937,237.469000,50052706,24911937,715.139000,116745990,37965330
2000000,251.101000,53488890,25440977,250.303000,53488934,25440977,766.202000,123288345,40096115
2100000,265.289000,58338391,28866805,263.882000,58338433,28866805,876.911000,129836379,42228793
2200000,280.176000,65139362,32192322,279.976000,65139405,32192322,888.491000,136505775,44401925
2300000,296.697000,64886554,31302145,291.444000,64886604,31302145,940.469000,143194776,46581592
2400000,309.289000,73550118,33921975,309.701000,73550172,33921975,998.926000,149901765,48767255
2500000,319.612000,71943059,36368117,318.361000,71943106,36368117,1069.756000,156622827,50957609
2600000,333.031000,72865730,35012119,332.841000,72865778,35012119,1166.443000,163356621,53152207
2700000,343.754000,75705874,38104437,343.340000,75705923,38104437,1173.122000,170104365,55351455
2800000,359.526000,80897623,41766615,356.638000,80897675,41766615,1318.728000,176863500,57554500
2900000,376.579000,79879025,39108873,374.018000,79879068,39108873,1307.314000,183638679,59762893
3000000,389.101000,82868034,40118744,389.027000,82868074,40118744,1422.326000,190412988,61970996
3100000,402.086000,86308182,44192413,400.006000,86308231,44192413,1432.930000,197196543,64182181
3200000,415.498000,87581007,42795141,413.797000,87581053,42795141,1532.910000,203994705,66398235
3300000,426.300000,95408973,46624585,427.162000,95409018,46624585,1577.803000,210802980,68617660
3400000,444.934000,101407065,47948754,443.942000,101407110,47948754,1655.398000,217600167,70833389
3500000,456.151000,97482263,47271719,455.238000,97482309,47271719,1791.246000,224422452,73057484
3600000,478.047000,102899499,51052019,476.073000,102899546,51052019,1788.202000,231243267,75281089
3700000,488.559000,109149908,59635101,486.096000,109149955,59635101,1852.413000,238065843,77505281
3800000,496.357000,113507865,53118679,494.965000,113507920,53118679,1938.067000,244906977,79735659
3900000,517.503000,112220103,55820171,514.544000,112220150,55820171,2079.980000,251728563,81959521
4000000,527.226000,115057333,56593724,525.768000,115057378,56593724,2071.849000,258582693,84194231
4100000,543.578000,119272595,57631875,541.379000,119272643,57631875,2136.081000,265435011,86428337
4200000,553.650000,119135744,57723561,551.459000,119135793,57723561,2221.207000,272277936,88659312
4300000,570.751000,127473424,65746117,571.105000,127473466,65746117,2306.819000,279250185,90933395
4400000,581.196000,130698674,62841868,579.981000,130698719,62841868,2400.663000,286218438,93206146
4500000,593.230000,128028523,63327236,591.763000,128028568,63327236,2514.633000,293200506,95483502
4600000,610.431000,131031226,66118802,610.827000,131031275,66118802,2565.074000,300198918,97766306
