size,quicksort_time,quicksort_comparison,quicksort_swap,quicksort_tail_op_time,quicksort_tail_op_comparison,quicksort_tail_op_swap,heapsort_time,heapsort_comparison,heapsort_swap
100000,10.197000,2093597,1103150,9.949000,2093632,1103150,18.173000,4875297,1575099
200000,21.242000,4385178,2334468,21.365000,4385211,2334468,42.055000,10348695,3349565
300000,33.154000,7210065,3545395,33.364000,7210105,3545395,65.982000,16037796,5195932
400000,45.195000,9763276,4598954,45.130000,9763320,4598954,97.047000,21901005,7100335
500000,57.969000,12267828,5900762,56.975000,12267867,5900762,124.721000,27822996,9024332
600000,70.159000,15147200,7135854,71.830000,15147241,7135854,154.862000,33874896,10991632
700000,82.267000,17690920,9598342,82.045000,17690959,9598342,191.341000,40014546,12988182
800000,95.221000,20372142,10624575,95.130000,20372186,10624575,226.559000,46194204,14998068
900000,107.055000,22612855,11441937,106.395000,22612897,11441937,268.130000,52409292,17019764
1000000,120.648000,27406031,13725118,121.985000,27406076,13725118,360.085000,58646523,19048841
1100000,133.070000,29700071,14463904,133.098000,29700108,14463904,399.264000,64953045,21101015
1200000,148.204000,32005034,16232721,148.930000,32005072,16232721,442.268000,71353698,23184566
1300000,158.840000,35224952,17745413,158.782000,35224998,17745413,439.008000,77782290,25277430
1400000,172.378000,37327383,20317367,170.411000,37327421,20317367,494.943000,84234843,27378281
1500000,184.368000,40609479,21687694,183.909000,40609524,21687694,544.210000,90706980,29485660
1600000,198.147000,42545690,20616782,198.091000,42545733,20616782,652.888000,97198632,31599544
1700000,212.204000,46232418,22427652,211.530000,46232461,22427652,646.594000,103705647,33718549
1800000,227.643000,50812749,26274917,226.840000,50812799,26274917,700.927000,110217129,35839043
1900000,238.414000,52961849,26900212,237.923000,52961899,26900212,752.589000,116756898,37968966
2000000,254.254000,53066975,26438963,254.432000,53067021,26438963,808.403000,123287403,40095801
2100000,264.939000,55879719,27240826,265.143000,55879757,27240826,863.604000,129841680,42230560
2200000,276.447000,61349494,31429107,275.404000,61349536,31429107,930.399000,136510542,44403514
2300000,294.197000,62418529,31425785,293.884000,62418572,31425785,983.026000,143198661,46582887
2400000,302.305000,64272967,33899539,302.569000,64273003,33899539,1052.003000,149904585,48768195
2500000,324.708000,69400871,35439644,324.199000,69400912,35439644,1146.387000,156628443,50959481
2600000,331.544000,74289781,34768114,329.920000,74289829,34768114,1170.221000,163364061,53154687
2700000,348.624000,77424014,35589504,347.499000,77424057,35589504,1294.318000,170104179,55351393
2800000,360.122000,78039212,41038588,359.055000,78039265,41038588,1296.269000,176873445,57557815
2900000,374.325000,80441726,40075972,375.039000,80441767,40075972,1424.385000,183634188,59761396
3000000,387.204000,85274678,40239590,387.454000,85274722,40239590,1445.666000,190416429,61972143
3100000,401.116000,87170620,42489169,398.193000,87170666,42489169,1536.046000,197207271,64185757
3200000,412.673000,90688744,44339041,412.111000,90688793,44339041,1600.347000,203989935,66396645
3300000,427.547000,92959713,46937057,427.463000,92959752,46937057,1643.690000,210794673,68614891
3400000,446.581000,96037195,49649669,444.818000,96037237,49649669,1782.498000,217600743,70833581
3500000,459.290000,100447787,48983170,459.242000,100447830,48983170,1792.624000,224423559,73057853
3600000,472.331000,101874662,49149768,472.805000,101874711,49149768,1865.717000,231238620,75279540
3700000,482.913000,110739794,51023931,479.373000,110739847,51023931,1965.833000,238066380,77505460
3800000,501.126000,113024205,52601986,497.158000,113024252,52601986,2002.688000,244901652,79733884
3900000,515.439000,114966737,56415283,512.029000,114966788,56415283,2075.279000,251739969,81963323
4000000,528.902000,119823668,57041767,528.944000,119823712,57041767,2153.617000,258580911,84193637
4100000,537.952000,117951743,60292954,533.849000,117951794,60292954,2228.044000,265422684,86424228
4200000,559.297000,120258687,60513883,561.428000,120258733,60513883,2332.735000,272290422,88663474
4300000,576.677000,133697145,67110091,575.465000,133697200,67110091,2380.377000,279239589,90929863
4400000,584.887000,126459885,60670454,581.645000,126459939,60670454,2439.382000,286211799,93203933
4500000,594.750000,130091724,69501966,598.030000,130091770,69501966,2551.950000,293203437,95484479
4600000,615.198000,133582239,63576120,617.942000,133582290,63576120,2622.122000,300201753,97767251
4700000,628.090000,136011329,67902684,629.911000,136011370,67902684,2652.419000,307198062,100049354
4800000,640.298000,138930051,69547773,639.769000,138930096,69547773,2725.752000,314208063,102336021
4900000,652.543000,140361564,71424943,652.809000,140361609,71424943,2804.051000,321222018,104624006
5000000,666.309000,146759282,71395000,664.945000,146759329,71395000,2884.969000,328260240,106920080
5100000,680.483000,147838638,73840200,680.379000,147838689,73840200,2952.293000,335285742,109211914
5200000,698.355000,154811463,72695928,693.860000,154811513,72695928,3035.661000,342318060,111506020
5300000,710.579000,155283846,79385171,711.258000,155283901,79385171,3111.631000,349367238,113805746
5400000,726.739000,161663715,83366990,730.136000,161663761,83366990,3184.011000,356407710,116102570
5500000,748.674000,163738873,83058295,744.771000,163738924,83058295,3273.074000,363485736,118411912
5600000,756.589000,165218126,78630585,756.826000,165218173,78630585,3365.488000,370540797,120713599
5700000,769.836000,171778806,90399742,765.588000,171778855,90399742,3437.689000,377596530,123015510
5800000,785.272000,169155164,88512570,780.962000,169155214,88512570,3717.840000,384675879,125325293
5900000,819.488000,178943831,94030015,828.689000,178943882,94030015,3771.638000,391751100,127633700
6000000,834.192000,175215937,86250610,825.973000,175215977,86250610,3875.257000,398841567,129947189
6100000,834.094000,175823724,87233362,833.885000,175823769,87233362,3871.338000,405908976,132252992
6200000,875.698000,183496645,90459594,841.658000,183496689,90459594,3794.982000,412993440,134564480
6300000,871.627000,187624159,90826094,862.143000,187624205,90826094,3849.941000,420086508,136878836
6400000,873.287000,193818866,98745968,870.151000,193818923,98745968,3872.214000,427188351,139196117
6500000,876.692000,193452484,93370889,873.584000,193452526,93370889,3934.148000,434293842,141514614
6600000,904.211000,209610629,110773395,900.263000,209610680,110773395,4006.296000,441383181,143827727
6700000,908.823000,201582382,99640179,911.797000,201582424,99640179,4116.721000,448501356,146150452
6800000,921.208000,204132232,94681676,919.844000,204132279,94681676,4241.171000,455610300,148470100
6900000,938.966000,200868694,97305467,934.771000,200868736,97305467,4284.989000,462712731,150787577
7000000,953.875000,219895319,103647830,950.693000,219895370,103647830,4351.124000,469836594,153112198
7100000,977.884000,210509944,102895965,972.755000,210509997,102895965,4699.421000,476955762,155435254
7200000,1009.634000,216822645,109747946,989.363000,216822695,109747946,4535.037000,484081347,157760449
7300000,995.339000,216862852,109662038,992.426000,216862901,109662038,4635.633000,491203584,160084528
7400000,1005.064000,223872332,117369003,1007.238000,223872384,117369003,4702.678000,498342801,162414267
7500000,1029.201000,226946482,111986648,1025.074000,226946530,111986648,4789.078000,505466448,164738816
7600000,1056.266000,236487482,123589721,1056.617000,236487526,123589721,4889.320000,512604735,167068245
7700000,1053.518000,228337797,112688087,1048.658000,228337842,112688087,4929.541000,519738435,169396145
7800000,1072.330000,232366871,118591693,1067.399000,232366912,118591693,5060.699000,526869531,171723177
7900000,1087.091000,236717820,123604891,1082.882000,236717874,123604891,5095.668000,534024036,174058012
8000000,1099.928000,250356674,123086600,1098.203000,250356728,123086600,5193.409000,541160085,176386695
8100000,1110.456000,245177265,126535135,1105.309000,245177305,126535135,5262.663000,548293065,178714355
8200000,1122.984000,242930347,120007303,1123.150000,242930394,120007303,5362.225000,555444540,181048180
8300000,1137.886000,249997513,126565378,1136.893000,249997561,126565378,5460.379000,562603467,183384489
8400000,1174.533000,262007626,133531615,1173.146000,262007670,133531615,5508.569000,569765940,185721980
8500000,1173.754000,261674926,124626170,1172.748000,261674980,124626170,5592.772000,577027464,188092488
8600000,1192.197000,257148537,127531539,1188.344000,257148591,127531539,5711.711000,584292243,190464081
8700000,1200.808000,260214703,125155550,1197.601000,260214757,125155550,5792.402000,591556452,192835484
8800000,1222.047000,258863171,132973103,1217.829000,258863214,132973103,5879.446000,598844889,195214963
8900000,1233.255000,271018387,129623929,1231.730000,271018437,129623929,5966.087000,606119184,197589728
9000000,1252.752000,284228748,140130259,1251.050000,284228796,140130259,6014.250000,613416051,199972017
9100000,1265.922000,275896546,143298231,1263.589000,275896600,143298231,6101.288000,620704530,202351510
9200000,1263.016000,288408717,157418130,1256.656000,288408770,157418130,6215.002000,628003314,204734438
9300000,1291.028000,276571438,141435645,1288.704000,276571491,141435645,6282.500000,635292894,207114298
9400000,1301.638000,284548717,138408503,1301.734000,284548765,138408503,6384.308000,642602175,209500725
9500000,1316.878000,288840343,149433741,1312.779000,288840396,149433741,6466.063000,649908741,211886247
9600000,1330.026000,298464105,147559183,1332.188000,298464155,147559183,6554.959000,657217311,214272437
9700000,1346.712000,286657069,144246017,1347.873000,286657118,144246017,6655.788000,664533792,216661264
9800000,1366.424000,298590675,150506086,1367.100000,298590722,150506086,6731.717000,671851716,219050572
9900000,1386.871000,302382006,156658529,1386.265000,302382052,156658529,6817.035000,679178217,221442739
10000000,1379.488000,322466608,167464463,1382.024000,322466656,167464463,6877.095000,686509602,223836534
