size,quicksort_time,quicksort_comparison,quicksort_swap,quicksort_tail_op_time,quicksort_tail_op_comparison,quicksort_tail_op_swap,heapsort_time,heapsort_comparison,heapsort_swap
100000,10.092000,2122775,1071959,9.993000,2122805,1071959,17.945000,4875237,1575079
200000,21.418000,4551377,2232006,21.318000,4551421,2232006,40.775000,10349058,3349686
300000,33.005000,6844188,3398300,32.787000,6844223,3398300,66.312000,16040277,5196759
400000,44.685000,9514852,4766063,44.243000,9514883,4766063,94.612000,21903402,7101134
500000,57.111000,11950471,5780216,57.360000,11950507,5780216,142.277000,27824346,9024782
600000,69.408000,15276788,7302617,69.115000,15276835,7302617,172.661000,33879729,10993243
700000,81.698000,17891308,8692985,81.917000,17891352,8692985,210.418000,40019121,12989707
800000,96.916000,20702133,10628834,96.486000,20702172,10628834,246.238000,46197081,14999027
900000,107.385000,23172722,12099711,108.043000,23172766,12099711,266.135000,52412676,17020892
1000000,119.468000,26552072,13144194,118.276000,26552111,13144194,298.288000,58647951,19049317
1100000,132.095000,28453508,14277151,132.530000,28453548,14277151,331.720000,64956348,21102116
1200000,145.493000,32378827,16612105,145.077000,32378868,16612105,375.934000,71351604,23183868
1300000,159.650000,36312011,18676408,160.403000,36312062,18676408,411.488000,77783097,25277699
1400000,172.377000,36480946,18579373,171.210000,36480989,18579373,460.656000,84233694,27377898
1500000,189.519000,41141719,19985034,185.641000,41141761,19985034,508.643000,90707718,29485906
1600000,197.384000,43233301,22156818,196.894000,43233340,22156818,559.373000,97199835,31599945
1700000,212.377000,45983444,23106146,211.946000,45983485,23106146,614.944000,103705875,33718625
1800000,224.877000,51463852,24871482,223.298000,51463897,24871482,653.341000,110222136,35840712
1900000,240.297000,52660493,28163026,240.467000,52660541,28163026,726.364000,116749329,37966443
2000000,252.958000,58261665,28741634,252.436000,58261709,28741634,748.999000,123286560,40095520
2100000,263.099000,57495329,28718089,265.471000,57495377,28718089,801.782000,129836646,42228882
2200000,279.424000,61941545,31949783,279.054000,61941588,31949783,890.235000,136512087,44404029
2300000,292.227000,62060584,29892482,292.483000,62060626,29892482,938.792000,143195871,46581957
2400000,304.216000,66791223,34356390,303.887000,66791266,34356390,1015.762000,149909142,48769714
2500000,320.656000,67598321,32875964,319.246000,67598365,32875964,1055.215000,156623841,50957947
2600000,331.679000,73221683,36207202,332.102000,73221731,36207202,1128.745000,163357242,53152414
2700000,346.079000,72486798,36918289,347.307000,72486843,36918289,1176.437000,170110707,55353569
2800000,356.287000,80336778,40828853,357.665000,80336833,40828853,1290.371000,176864199,57554733
2900000,377.068000,85504039,41521293,376.681000,85504084,41521293,1351.470000,183635352,59761784
3000000,388.406000,84748719,41365858,388.280000,84748774,41365858,1372.359000,190417872,61972624
3100000,399.726000,86875580,45250619,402.329000,86875633,45250619,1464.171000,197203476,64184492
3200000,411.734000,93950846,48320219,412.075000,93950893,48320219,1520.175000,203993454,66397818
3300000,426.835000,93648386,45092418,428.338000,93648429,45092418,1559.395000,210799848,68616616
3400000,446.209000,95192131,46924164,445.720000,95192173,46924164,1697.781000,217607214,70835738
3500000,455.174000,103405889,49730674,453.680000,103405937,49730674,1708.237000,224420610,73056870
3600000,468.348000,103244024,51744167,466.543000,103244072,51744167,1774.197000,231242838,75280946
3700000,482.908000,102932428,53285369,480.431000,102932473,53285369,1891.727000,238065849,77505283
3800000,496.498000,109541731,55709300,496.843000,109541780,55709300,1903.527000,244895226,79731742
3900000,513.002000,108989972,55144294,511.806000,108990022,55144294,1999.365000,251736111,81962037
4000000,522.695000,117079549,57705079,524.203000,117079603,57705079,2071.575000,258577038,84192346
4100000,538.331000,116657673,57408232,537.923000,116657718,57408232,2157.192000,265426371,86425457
4200000,564.718000,121898189,61756865,562.742000,121898237,61756865,2272.203000,272290554,88663518
4300000,564.748000,127120827,64402047,558.786000,127120874,64402047,2275.902000,279244563,90931521
4400000,582.486000,125647242,62197618,580.632000,125647286,62197618,2335.988000,286215180,93205060
4500000,595.829000,132363273,69647235,592.647000,132363319,69647235,2398.334000,293205882,95485294
4600000,612.937000,132577321,62094576,625.412000,132577364,62094576,2536.018000,300201873,97767291
4700000,625.265000,130802856,65123996,625.330000,130802902,65123996,2611.615000,307204389,100051463
4800000,640.699000,143439443,73214914,638.629000,143439492,73214914,2656.934000,314205972,102335324
4900000,661.670000,142018640,70531690,655.701000,142018685,70531690,2735.200000,321234489,104628163
5000000,663.484000,144443809,72515522,665.268000,144443852,72515522,2787.426000,328253469,106917823
5100000,678.995000,152575991,71263896,676.666000,152576041,71263896,2874.876000,335279025,109209675
5200000,693.462000,150218230,76004048,694.254000,150218276,76004048,2948.969000,342316749,111505583
5300000,717.542000,160965840,85397591,714.128000,160965892,85397591,3015.573000,349366446,113805482
5400000,731.322000,159552282,77570986,729.491000,159552330,77570986,3097.167000,356413500,116104500
5500000,751.227000,166170054,83569628,750.430000,166170099,83569628,3170.620000,363469992,118406664
5600000,755.113000,164662837,77560260,749.447000,164662885,77560260,3245.181000,370545852,120715284
5700000,759.310000,167856492,85890639,760.472000,167856536,85890639,3317.209000,377591592,123013864
5800000,778.976000,168846135,87290410,779.209000,168846173,87290410,3379.964000,384677445,125325815
5900000,797.232000,179852718,88920227,795.646000,179852776,88920227,3477.582000,391746444,127632148
6000000,807.967000,174303025,91132249,802.108000,174303075,91132249,3557.666000,398828985,129942995
6100000,830.952000,180615397,85816036,823.550000,180615446,85816036,3618.063000,405918159,132256053
6200000,836.843000,182873586,90543358,835.388000,182873630,90543358,3713.840000,412992759,134564253
6300000,855.738000,187432217,94727088,857.760000,187432266,94727088,3785.667000,420096519,136882173
6400000,862.807000,186385395,90503818,858.371000,186385441,90503818,3892.517000,427189965,139196655
6500000,879.054000,193901774,97076591,874.162000,193901821,97076591,3956.541000,434284227,141511409
6600000,891.945000,198484065,100939027,892.775000,198484111,100939027,4050.295000,441389172,143829724
6700000,911.779000,206162122,98241654,907.021000,206162179,98241654,4117.654000,448500651,146150217
6800000,920.785000,206962497,101202938,921.253000,206962544,101202938,4202.666000,455615508,148471836
6900000,938.128000,207305210,98832911,934.331000,207305263,98832911,4295.321000,462720372,150790124
7000000,965.664000,213352315,111836087,965.903000,213352357,111836087,4379.610000,469835748,153111916
7100000,972.625000,211169632,105232923,971.394000,211169678,105232923,4445.360000,476961672,155437224
7200000,977.753000,214454036,105718111,975.707000,214454078,105718111,4547.405000,484101795,157767265
7300000,1004.484000,233067790,109272795,1008.163000,233067843,109272795,4589.002000,491217954,160089318
