size,quicksort_time,quicksort_comparison,quicksort_swap,quicksort_tail_op_time,quicksort_tail_op_comparison,quicksort_tail_op_swap,heapsort_time,heapsort_comparison,heapsort_swap
100000,10.292000,2125031,1056275,10.179000,2125064,1056275,18.844000,4875150,1575050
200000,21.654000,4901088,2373837,21.817000,4901125,2373837,42.282000,10348545,3349515
300000,33.470000,7480944,3759037,33.924000,7480982,3759037,70.786000,16038408,5196136
400000,45.408000,9435758,4648345,45.377000,9435795,4648345,102.768000,21897780,7099260
500000,58.653000,12737547,6708292,58.022000,12737592,6708292,137.894000,27823356,9024452
600000,69.963000,14939248,7431372,69.538000,14939288,7431372,168.988000,33876819,10992273
700000,83.335000,17047585,8552182,82.695000,17047624,8552182,212.706000,40019007,12989669
800000,95.058000,20611753,10236622,94.640000,20611795,10236622,223.536000,46199574,14999858
900000,106.857000,22623012,11514266,107.006000,22623046,11514266,269.119000,52410327,17020109
1000000,119.482000,27004068,13171624,119.532000,27004105,13171624,303.056000,58645341,19048447
1100000,131.969000,29564418,16362937,131.839000,29564464,16362937,342.240000,64957689,21102563
1200000,147.691000,32450249,15345125,147.270000,32450290,15345125,367.822000,71356077,23185359
1300000,157.875000,35772393,17287782,156.586000,35772434,17287782,473.132000,77782128,25277376
1400000,174.138000,38004165,19997240,173.746000,38004212,19997240,528.776000,84233019,27377673
1500000,185.338000,39590957,20261643,184.863000,39590997,20261643,508.564000,90707454,29485818
1600000,195.658000,43615515,22920634,196.002000,43615558,22920634,546.624000,97200852,31600284
1700000,210.712000,45266186,21928943,211.363000,45266230,21928943,600.991000,103699272,33716424
1800000,222.953000,47674717,24745556,224.524000,47674758,24745556,741.787000,110218299,35839433
1900000,237.351000,51008179,25560935,236.384000,51008219,25560935,703.721000,116745264,37965088
2000000,249.090000,53488676,26919957,249.114000,53488721,26919957,757.435000,123293253,40097751
2100000,263.894000,60283033,29946204,263.789000,60283073,29946204,896.193000,129852480,42234160
2200000,278.848000,60465336,28934013,279.468000,60465389,28934013,875.203000,136513311,44404437
2300000,294.693000,64647923,33782016,295.997000,64647967,33782016,948.745000,143195208,46581736
2400000,304.161000,65728829,31677995,303.058000,65728864,31677995,1061.091000,149909760,48769920
2500000,319.232000,70059474,35366861,319.361000,70059518,35366861,1041.545000,156622368,50957456
2600000,332.323000,71324529,34616027,331.235000,71324566,34616027,1179.705000,163364433,53154811
2700000,345.462000,76118232,37692947,345.950000,76118275,37692947,1176.059000,170108892,55352964
2800000,357.874000,77768455,38060263,355.138000,77768502,38060263,1248.325000,176867568,57555856
2900000,373.104000,80201504,40369338,370.383000,80201546,40369338,1298.946000,183634611,59761537
3000000,389.170000,82713536,39898278,389.405000,82713575,39898278,1403.631000,190412232,61970744
3100000,400.720000,86855921,42071052,398.926000,86855968,42071052,1435.498000,197197041,64182347
3200000,417.417000,91970429,48407316,419.293000,91970474,48407316,1579.353000,203997642,66399214
3300000,423.858000,94798025,51643735,423.445000,94798071,51643735,1554.604000,210799107,68616369
3400000,447.865000,98107063,49224714,447.119000,98107114,49224714,1653.244000,217617270,70839090
