size,quicksort_time,quicksort_comparison,quicksort_swap,quicksort_tail_op_time,quicksort_tail_op_comparison,quicksort_tail_op_swap,heapsort_time,heapsort_comparison,heapsort_swap
100000,10.068000,2206174,1067839,9.939000,2206209,1067839,18.249000,4873143,1574381
200000,21.425000,4523986,2153293,21.423000,4524030,2153293,41.866000,10347549,3349183
300000,33.215000,7061142,3606550,33.074000,7061186,3606550,73.359000,16037055,5195685
400000,46.983000,9787982,4887732,47.099000,9788020,4887732,115.432000,21897885,7099295
500000,58.147000,12247878,5943224,56.935000,12247918,5943224,131.297000,27820656,9023552
600000,69.139000,14847767,7559209,69.241000,14847803,7559209,157.917000,33876033,10992011
700000,81.533000,17471344,9037080,82.242000,17471380,9037080,187.347000,40016070,12988690
800000,94.894000,21269194,10728458,93.844000,21269239,10728458,214.866000,46199136,14999712
900000,107.803000,23669408,11592997,106.961000,23669442,11592997,252.730000,52411542,17020514
1000000,119.983000,25582929,12383089,119.921000,25582968,12383089,293.365000,58645188,19048396
1100000,131.399000,28661790,14777234,133.385000,28661822,14777234,323.199000,64955316,21101772
1200000,147.389000,32001340,16294304,144.510000,32001382,16294304,370.169000,71346975,23182325
1300000,160.722000,35393037,16688743,160.402000,35393088,16688743,514.724000,77780025,25276675
1400000,172.778000,37489656,18215477,173.289000,37489705,18215477,500.038000,84237183,27379061
1500000,184.240000,39894471,19241469,183.027000,39894517,19241469,511.075000,90704262,29484754
1600000,199.611000,43080806,21027116,198.647000,43080849,21027116,558.786000,97197567,31599189
1700000,212.055000,44852149,22221531,213.234000,44852188,22221531,621.590000,103703631,33717877
1800000,226.717000,48960565,24583430,221.925000,48960606,24583430,727.706000,110221596,35840532
1900000,239.538000,54671933,27227920,242.008000,54671980,27227920,705.047000,116750949,37966983
2000000,250.164000,53931317,27860112,248.682000,53931361,27860112,761.472000,123285075,40095025
2100000,265.431000,54894424,27537752,265.324000,54894466,27537752,929.891000,129842751,42230917
2200000,280.922000,62888157,31744927,276.818000,62888209,31744927,879.151000,136510602,44403534
2300000,294.379000,64645311,31802848,291.741000,64645352,31802848,963.114000,143204193,46584731
2400000,303.370000,65697945,33910387,304.721000,65697990,33910387,1036.170000,149903199,48767733
2500000,324.023000,69383677,36609491,322.202000,69383720,36609491,1090.126000,156619542,50956514
2600000,329.583000,71662799,36512266,328.522000,71662838,36512266,1220.537000,163361499,53153833
2700000,349.715000,76243320,38447288,348.761000,76243359,38447288,1204.789000,170106549,55352183
2800000,360.063000,80278200,40505913,358.766000,80278236,40505913,1354.207000,176865444,57555148
2900000,374.910000,79299981,40240633,374.825000,79300022,40240633,1331.483000,183638139,59762713
3000000,387.854000,86917628,42073590,389.667000,86917671,42073590,1450.248000,190412475,61970825
3100000,399.214000,90694396,44753838,398.044000,90694440,44753838,1476.369000,197201328,64183776
3200000,418.181000,93869728,49791945,416.217000,93869777,49791945,1555.314000,203996910,66398970
3300000,427.798000,94898263,47539168,428.748000,94898313,47539168,1617.293000,210797976,68615992
3400000,446.816000,95410152,47030095,443.001000,95410194,47030095,1720.775000,217607043,70835681
3500000,455.001000,102690927,52697020,455.283000,102690978,52697020,1809.115000,224419065,73056355
3600000,467.919000,105162090,49992737,468.171000,105162136,49992737,1830.516000,231240087,75280029
3700000,494.224000,109887646,54720050,491.565000,109887695,54720050,1909.154000,238062357,77504119
3800000,496.300000,107840244,52992690,496.600000,107840296,52992690,1981.246000,244897347,79732449
3900000,514.092000,115278735,56088993,515.876000,115278781,56088993,2133.309000,251732757,81960919
4000000,531.454000,116864393,61921326,527.041000,116864443,61921326,2141.847000,258578484,84192828
4100000,541.219000,118444851,56581800,537.520000,118444895,56581800,2241.157000,265424301,86424767
4200000,555.372000,128728443,64393444,559.024000,128728497,64393444,2276.635000,272277120,88659040
4300000,571.425000,127020889,60048290,574.392000,127020934,60048290,2375.603000,279246588,90932196
4400000,581.658000,126102779,62220669,579.204000,126102827,62220669,2445.201000,286220853,93206951
4500000,593.536000,131207042,67290394,590.918000,131207092,67290394,2572.484000,293195928,95481976
4600000,609.322000,131676091,67731269,606.812000,131676138,67731269,2642.711000,300198639,97766213
4700000,620.440000,137599710,69144393,617.416000,137599751,69144393,2737.225000,307195848,100048616
4800000,639.519000,137466370,66697232,637.304000,137466420,66697232,2805.818000,314205399,102335133
4900000,651.853000,140979837,72166205,651.673000,140979884,72166205,2908.993000,321225195,104625065
5000000,670.516000,144144174,70326743,665.854000,144144222,70326743,2962.476000,328258425,106919475
5100000,686.195000,146957480,75251709,684.781000,146957524,75251709,3041.441000,335290407,109213469
5200000,696.019000,155798008,72591587,699.434000,155798062,72591587,3086.870000,342327321,111509107
5300000,713.904000,162952481,84185760,708.996000,162952530,84185760,3139.547000,349359015,113803005
5400000,726.531000,163080241,84421895,722.370000,163080281,84421895,3270.203000,356418798,116106266
5500000,739.276000,160194120,83403951,737.346000,160194166,83403951,3323.914000,363467070,118405690
5600000,754.874000,171212004,83733115,757.219000,171212056,83733115,3370.747000,370536420,120712140
5700000,767.546000,165882525,84510328,763.863000,165882573,84510328,3476.269000,377601360,123017120
5800000,783.160000,175451184,88883747,781.691000,175451233,88883747,3545.399000,384672801,125324267
5900000,801.248000,173749740,84693580,801.056000,173749794,84693580,3651.356000,391738545,127629515
6000000,816.187000,177807174,89021707,814.962000,177807217,89021707,3727.409000,398818851,129939617
6100000,829.777000,180533843,94820226,824.272000,180533895,94820226,3812.636000,405919476,132256492
6200000,835.479000,184694892,92913138,837.752000,184694942,92913138,3901.849000,413002713,134567571
6300000,856.021000,185033387,96193624,855.389000,185033440,96193624,3991.736000,420103260,136884420
6400000,871.399000,186244184,92668871,873.219000,186244230,92668871,4092.240000,427202418,139200806
6500000,887.345000,191971607,97096734,884.531000,191971655,97096734,4149.336000,434285523,141511841
6600000,894.710000,201520475,106434583,892.024000,201520519,106434583,4244.500000,441387918,143829306
6700000,918.726000,195931274,98041553,920.094000,195931323,98041553,4345.049000,448504653,146151551
6800000,925.840000,205692590,102914963,922.205000,205692638,102914963,4399.084000,455609913,148469971
6900000,938.334000,207941106,104951622,931.699000,207941161,104951622,4481.305000,462718575,150789525
7000000,959.936000,205411047,104675780,958.479000,205411094,104675780,4586.016000,469848525,153116175
7100000,967.941000,219228643,108702013,974.209000,219228697,108702013,4648.020000,476972004,155440668
7200000,985.682000,211900370,110405251,984.367000,211900408,110405251,4800.200000,484088781,157762927
7300000,998.141000,214561867,113746130,997.235000,214561915,113746130,4821.082000,491203527,160084509
7400000,1014.740000,218850659,108380945,1014.732000,218850708,108380945,4949.294000,498343287,162414429
7500000,1040.632000,228066636,113903631,1038.923000,228066686,113903631,5037.027000,505461021,164737007
7600000,1042.214000,224940540,111193309,1039.499000,224940592,111193309,5158.004000,512608485,167069495
7700000,1056.411000,229485094,112365394,1050.937000,229485136,112365394,5210.889000,519750060,169400020
7800000,1060.403000,244167210,117190949,1057.796000,244167260,117190949,5314.005000,526877580,171725860
7900000,1090.168000,234790694,119121805,1090.699000,234790735,119121805,5373.871000,534008550,174052850
8000000,1100.325000,236759369,116384977,1097.721000,236759417,116384977,5466.558000,541162101,176387367
8100000,1114.416000,238767171,118073966,1112.779000,238767216,118073966,5578.371000,548307738,178719246
8200000,1134.523000,251255988,122766329,1129.547000,251256032,122766329,5631.161000,555448032,181049344
