size,quicksort_time,quicksort_comparison,quicksort_swap,quicksort_tail_op_time,quicksort_tail_op_comparison,quicksort_tail_op_swap,heapsort_time,heapsort_comparison,heapsort_swap
100000,10.279000,2110293,1056877,10.194000,2110324,1056877,20.394000,4875912,1575304
200000,21.479000,4510472,2317469,21.287000,4510509,2317469,40.612000,10349952,3349984
300000,32.948000,7202919,3816087,32.803000,7202958,3816087,66.291000,16038660,5196220
400000,44.570000,9418050,4584370,44.550000,9418080,4584370,93.526000,21899094,7099698
500000,57.091000,12484813,6396431,56.778000,12484854,6396431,123.757000,27819777,9023259
600000,69.417000,15344211,7540375,71.887000,15344251,7540375,156.029000,33876045,10992015
700000,82.804000,18448814,9317622,82.313000,18448858,9317622,186.127000,40018632,12989544
800000,95.282000,19828726,9769855,94.528000,19828767,9769855,222.528000,46200024,15000008
900000,107.454000,24411385,12585610,107.377000,24411428,12585610,267.131000,52409460,17019820
1000000,118.801000,26020486,13390623,118.471000,26020529,13390623,353.017000,58641588,19047196
1100000,134.842000,28924858,14107679,133.622000,28924899,14107679,420.024000,64956048,21102016
1200000,147.778000,32425810,16686679,145.862000,32425860,16686679,381.204000,71357379,23185793
1300000,160.356000,34943061,17174201,159.773000,34943099,17174201,413.378000,77782290,25277430
1400000,171.964000,37882166,19544505,171.263000,37882211,19544505,466.761000,84231117,27377039
1500000,184.704000,41502503,19130262,183.118000,41502543,19130262,513.319000,90707130,29485710
1600000,198.146000,45120642,21772230,197.961000,45120687,21772230,550.983000,97195386,31598462
1700000,211.682000,46135392,24168157,210.556000,46135437,24168157,602.171000,103701759,33717253
1800000,225.236000,51705272,25668741,225.245000,51705309,25668741,664.709000,110216853,35838951
1900000,236.625000,51543957,25799783,235.209000,51543998,25799783,714.466000,116754585,37968195
2000000,253.675000,52994714,26071384,250.683000,52994754,26071384,858.013000,123293814,40097938
2100000,264.855000,57956878,29117040,265.462000,57956918,29117040,833.664000,129836373,42228791
2200000,276.378000,60309123,30170992,275.991000,60309169,30170992,884.849000,136515309,44405103
2300000,292.945000,64964661,34134829,292.513000,64964699,34134829,978.684000,143202789,46584263
2400000,304.379000,65346203,33052736,304.399000,65346247,33052736,1014.876000,149907576,48769192
2500000,319.519000,69391606,34949422,317.253000,69391650,34949422,1154.412000,156627582,50959194
2600000,332.526000,72609977,38225638,332.173000,72610021,38225638,1167.645000,163361664,53153888
2700000,347.541000,74912171,34909954,345.842000,74912213,34909954,1215.194000,170112372,55354124
2800000,360.291000,78535350,38875434,357.557000,78535395,38875434,1286.784000,176872812,57557604
2900000,371.481000,81737846,40243666,370.314000,81737886,40243666,1352.282000,183635013,59761671
3000000,390.423000,80995418,40243042,391.697000,80995465,40243042,1411.510000,190412973,61970991
3100000,398.924000,87992935,45279521,396.843000,87992985,45279521,1576.799000,197198226,64182742
3200000,415.253000,89657627,44226646,419.791000,89657668,44226646,1556.783000,204002013,66400671
3300000,429.578000,92164837,46019184,430.107000,92164878,46019184,1636.218000,210799575,68616525
3400000,441.303000,95842978,45025669,440.960000,95843025,45025669,1679.312000,217609062,70836354
3500000,458.918000,97115724,48539877,455.464000,97115774,48539877,1779.727000,224424159,73058053
3600000,468.989000,105021166,51232738,468.855000,105021209,51232738,1860.438000,231244035,75281345
3700000,486.728000,107569570,53892202,486.951000,107569616,53892202,1986.687000,238069935,77506645
3800000,501.235000,109024842,53291356,495.867000,109024892,53291356,1985.826000,244897611,79732537
3900000,508.843000,110984968,53333650,511.320000,110985017,53333650,2069.215000,251731425,81960475
4000000,531.642000,116223090,57813303,526.806000,116223137,57813303,2148.358000,258578328,84192776
4100000,542.200000,117900119,62351020,538.340000,117900164,62351020,2280.963000,265426992,86425664
4200000,554.612000,118778732,58646542,555.147000,118778774,58646542,2316.427000,272281086,88660362
4300000,563.825000,124400989,63824744,562.163000,124401042,63824744,2357.322000,279245325,90931775
4400000,583.267000,128031914,65197720,580.276000,128031966,65197720,2434.457000,286225497,93208499
4500000,597.528000,127878793,64586258,600.298000,127878841,64586258,2513.541000,293202054,95484018
4600000,615.155000,133243785,66812310,613.590000,133243831,66812310,2579.409000,300192759,97764253
4700000,626.110000,134177347,67762000,623.074000,134177388,67762000,2655.470000,307200282,100050094
4800000,637.481000,139145800,71359813,637.716000,139145853,71359813,2774.863000,314219277,102339759
4900000,664.379000,149552442,70523062,667.149000,149552494,70523062,2869.879000,321234621,104628207
5000000,663.610000,149830589,73983837,663.482000,149830640,73983837,2898.524000,328249362,106916454
5100000,680.671000,148249024,72551793,681.380000,148249066,72551793,3008.370000,335287461,109212487
5200000,703.991000,154281481,75291033,705.142000,154281524,75291033,3083.829000,342320754,111506918
5300000,713.640000,151473607,77642521,713.504000,151473646,77642521,3158.089000,349370301,113806767
5400000,805.724000,163257361,79671870,777.111000,163257411,79671870,3130.451000,356416962,116105654
5500000,748.257000,161489214,81369188,741.052000,161489262,81369188,3125.259000,363476676,118408892
5600000,762.077000,170901232,83524124,757.585000,170901279,83524124,3324.591000,370525911,120708637
5700000,770.112000,173449338,86965802,759.821000,173449389,86965802,3289.918000,377601909,123017303
5800000,781.524000,173033672,82251499,775.789000,173033718,82251499,3526.210000,384677976,125325992
5900000,799.545000,175424021,94086012,798.440000,175424067,94086012,3676.854000,391743219,127631073
6000000,820.621000,183852686,97027412,819.397000,183852734,97027412,3728.854000,398833071,129944357
6100000,825.470000,185178217,88218312,819.482000,185178261,88218312,3841.026000,405900957,132250319
6200000,843.528000,181673456,89489063,837.802000,181673504,89489063,3915.880000,413003205,134567735
6300000,858.765000,188913767,100249821,858.948000,188913812,100249821,3995.985000,420091458,136880486
6400000,871.082000,197768497,95025381,873.253000,197768545,95025381,4063.949000,427188780,139196260
6500000,886.109000,189013504,91385857,877.651000,189013546,91385857,4170.139000,434284827,141511609
6600000,891.411000,197532108,91935710,880.754000,197532156,91935710,4261.576000,441384999,143828333
6700000,908.076000,198391091,94847410,903.951000,198391131,94847410,4354.034000,448499922,146149974
6800000,924.372000,207011601,100513271,927.595000,207011655,100513271,4439.172000,455616021,148472007
6900000,945.017000,212741407,102301081,946.351000,212741455,102301081,4501.666000,462716685,150788895
