size,quicksort_time,quicksort_comparison,quicksort_swap,quicksort_tail_op_time,quicksort_tail_op_comparison,quicksort_tail_op_swap,heapsort_time,heapsort_comparison,heapsort_swap
100000,10.103000,2070663,1011407,10.106000,2070701,1011407,17.987000,4874847,1574949
200000,21.333000,4607394,2376820,21.332000,4607440,2376820,40.548000,10350291,3350097
300000,33.503000,7637337,4040375,33.135000,7637382,4040375,73.487000,16039560,5196520
400000,45.105000,9747506,4635340,44.839000,9747551,4635340,108.451000,21899226,7099742
500000,58.746000,12376461,6517068,58.119000,12376494,6517068,142.993000,27825645,9025215
600000,71.217000,14582249,7260903,69.996000,14582288,7260903,198.219000,33877722,10992574
700000,89.191000,16914838,8493065,84.408000,16914869,8493065,216.842000,40016745,12988915
800000,94.452000,21436922,10643439,94.819000,21436963,10643439,227.602000,46198290,14999430
900000,107.736000,22735866,10987401,106.524000,22735909,10987401,256.567000,52406268,17018756
1000000,119.154000,26831153,12927105,118.962000,26831199,12927105,294.210000,58641696,19047232
1100000,133.256000,28900164,14642459,133.442000,28900208,14642459,332.568000,64955706,21101902
1200000,145.118000,32569352,15399523,143.918000,32569396,15399523,373.737000,71347191,23182397
1300000,158.254000,33986684,17487506,158.399000,33986727,17487506,420.247000,77779155,25276385
1400000,172.285000,38485420,18812715,172.797000,38485466,18812715,464.871000,84231744,27377248
1500000,188.351000,39758993,19779437,187.719000,39759032,19779437,513.828000,90707787,29485929
1600000,197.628000,43331516,21063864,196.870000,43331562,21063864,551.776000,97198443,31599481
1700000,209.935000,45239043,23499610,210.209000,45239084,23499610,591.373000,103702668,33717556
1800000,225.657000,49413459,24627484,225.002000,49413500,24627484,650.671000,110219979,35839993
1900000,237.096000,51743534,25203851,237.019000,51743581,25203851,711.196000,116753634,37967878
2000000,251.555000,56216942,26402280,251.112000,56216985,26402280,767.305000,123287148,40095716
2100000,264.258000,58290720,27296341,262.666000,58290774,27296341,831.549000,129841266,42230422
2200000,276.194000,59674661,29486955,276.516000,59674709,29486955,899.174000,136512531,44404177
2300000,294.219000,69956892,38855598,292.299000,69956942,38855598,944.663000,143197080,46582360
2400000,307.743000,69736008,34683477,307.072000,69736054,34683477,1040.388000,149906976,48768992
2500000,321.939000,71842848,37372157,322.226000,71842889,37372157,1060.179000,156626877,50958959
2600000,331.039000,72163713,35386442,330.709000,72163754,35386442,1130.910000,163360950,53153650
2700000,348.603000,76298863,37638423,344.211000,76298913,37638423,1189.818000,170111874,55353958
2800000,364.538000,80681865,40731488,364.628000,80681912,40731488,1246.753000,176868633,57556211
2900000,372.430000,80562978,41288897,372.558000,80563019,41288897,1306.359000,183632343,59760781
3000000,387.891000,84673494,41734394,388.569000,84673538,41734394,1381.450000,190412934,61970978
3100000,401.823000,87503041,43477452,400.270000,87503086,43477452,1444.967000,197193573,64181191
3200000,414.379000,93964886,48396071,410.521000,93964932,48396071,1554.857000,203999028,66399676
3300000,428.604000,96252248,47749558,425.986000,96252292,47749558,1584.237000,210797613,68615871
3400000,441.082000,100415821,48780481,441.773000,100415872,48780481,1687.991000,217604493,70834831
3500000,458.348000,99892901,49857913,454.479000,99892941,49857913,1722.462000,224414307,73054769
3600000,470.646000,103717709,48017582,468.687000,103717756,48017582,1796.928000,231241788,75280596
3700000,483.913000,105325982,50529746,482.285000,105326029,50529746,1882.739000,238060539,77503513
3800000,500.748000,106926965,53567440,501.405000,106927017,53567440,1961.219000,244907748,79735916
3900000,509.579000,115065283,57778389,511.736000,115065334,57778389,1989.965000,251741976,81963992
