size,quicksort_time,quicksort_comparison,quicksort_swap,quicksort_tail_op_time,quicksort_tail_op_comparison,quicksort_tail_op_swap,heapsort_time,heapsort_comparison,heapsort_swap
100000,10.086000,2136836,1140757,9.998000,2136867,1140757,18.548000,4874787,1574929
200000,21.390000,4534015,2206688,21.407000,4534049,2206688,40.580000,10351740,3350580
300000,32.908000,7173278,3410140,32.732000,7173320,3410140,66.612000,16038624,5196208
400000,44.690000,9752996,4654713,43.986000,9753034,4654713,93.907000,21901290,7100430
500000,57.876000,12573410,6264818,56.241000,12573454,6264818,123.309000,27824655,9024885
600000,69.479000,15669645,8368440,69.070000,15669686,8368440,155.945000,33876918,10992306
700000,82.521000,17141923,8674363,81.858000,17141960,8674363,189.969000,40016484,12988828
800000,96.461000,20369064,10531145,94.474000,20369112,10531145,222.201000,46200741,15000247
900000,113.760000,23462623,11199346,110.270000,23462665,11199346,334.778000,52409379,17019793
1000000,121.217000,25489515,12129647,120.963000,25489562,12129647,299.121000,58642995,19047665
1100000,137.487000,30631251,14628137,141.879000,30631289,14628137,428.117000,64951467,21100489
1200000,153.755000,31827447,16512314,151.293000,31827484,16512314,491.727000,71352195,23184065
1300000,166.589000,38581807,18396550,165.539000,38581859,18396550,491.497000,77780028,25276676
1400000,174.628000,37469175,18849232,173.249000,37469214,18849232,550.737000,84234483,27378161
1500000,188.851000,38452620,19684261,187.243000,38452661,19684261,587.568000,90710865,29486955
1600000,199.754000,44551355,21774646,201.167000,44551395,21774646,643.633000,97197930,31599310
1700000,211.619000,46397615,24107462,214.467000,46397658,24107462,761.943000,103702278,33717426
1800000,229.507000,50311590,25627915,228.017000,50311633,25627915,798.940000,110226588,35842196
1900000,243.055000,52167734,26878415,245.278000,52167769,26878415,739.294000,116751930,37967310
2000000,252.021000,53811713,26295590,252.743000,53811753,26295590,757.915000,123287010,40095670
2100000,263.911000,58518342,29330070,264.597000,58518387,29330070,931.945000,129844686,42231562
2200000,283.571000,59478459,29722908,282.693000,59478505,29722908,876.493000,136510569,44403523
2300000,293.598000,63657694,32468603,294.944000,63657739,32468603,960.294000,143198547,46582849
2400000,306.170000,66824667,35201369,303.762000,66824712,35201369,993.423000,149910000,48770000
2500000,317.337000,71146991,35668911,314.507000,71147029,35668911,1039.426000,156629787,50959929
2600000,332.467000,72490809,37172594,337.407000,72490856,37172594,1145.251000,163366179,53155393
2700000,349.711000,74489301,36569702,346.092000,74489346,36569702,1161.171000,170111322,55353774
2800000,360.050000,77901875,39280773,360.121000,77901918,39280773,1281.979000,176859873,57553291
2900000,377.192000,80652678,41177800,373.273000,80652723,41177800,1296.564000,183629823,59759941
3000000,388.449000,84134378,43244161,387.455000,84134420,43244161,1396.031000,190419252,61973084
3100000,400.628000,88010757,45287266,398.360000,88010804,45287266,1419.016000,197202654,64184218
3200000,416.704000,89506011,45511541,415.283000,89506049,45511541,1506.613000,203992740,66397580
3300000,429.515000,91399466,46846404,429.789000,91399508,46846404,1545.307000,210799800,68616600
3400000,441.736000,98081658,51016679,437.156000,98081706,51016679,1620.672000,217608024,70836008
3500000,458.213000,97751477,47084101,456.410000,97751514,47084101,1740.460000,224418555,73056185
3600000,470.846000,100536948,49513059,469.905000,100536993,49513059,1754.773000,231242751,75280917
3700000,487.385000,108790412,51653995,482.580000,108790459,51653995,1821.597000,238065969,77505323
3800000,495.669000,110292443,58052007,495.957000,110292483,58052007,1916.703000,244902873,79734291
3900000,509.422000,112566894,56783140,507.509000,112566942,56783140,2007.712000,251738895,81962965
4000000,524.414000,113199308,54665819,523.228000,113199354,54665819,2038.304000,258571413,84190471
4100000,540.351000,119951203,57774912,543.296000,119951246,57774912,2101.805000,265425612,86425204
4200000,557.946000,118789332,60081411,557.466000,118789376,60081411,2200.969000,272279934,88659978
4300000,567.879000,124104610,62071338,565.668000,124104650,62071338,2557.942000,279240549,90930183
4400000,615.350000,125123094,63177894,581.317000,125123139,63177894,2648.172000,286223421,93207807
4500000,600.466000,133025093,65085864,602.329000,133025142,65085864,2575.924000,293202042,95484014
4600000,610.153000,133264757,68171002,605.476000,133264803,68171002,2574.447000,300200769,97766923
4700000,631.108000,144250932,70024673,629.870000,144250982,70024673,2656.976000,307198299,100049433
4800000,636.711000,137451518,68164028,635.088000,137451567,68164028,2747.935000,314211840,102337280
4900000,652.761000,142966822,76196529,656.546000,142966869,76196529,2911.743000,321221466,104623822
5000000,673.361000,145129519,74525478,672.784000,145129570,74525478,2950.102000,328251210,106917070
5100000,686.527000,160909024,77730651,692.407000,160909073,77730651,2989.597000,335275746,109208582
5200000,703.321000,153926620,80382450,704.536000,153926666,80382450,3085.408000,342325167,111508389
5300000,713.840000,156342669,80028890,709.046000,156342718,80028890,3142.925000,349362822,113804274
5400000,727.163000,156230121,80263954,723.905000,156230174,80263954,3227.096000,356417832,116105944
5500000,735.871000,156955949,82148271,733.000000,156955994,82148271,3287.610000,363479718,118409906
5600000,757.072000,161306503,82877177,761.389000,161306548,82877177,3427.914000,370529553,120709851
5700000,776.008000,167265029,83007534,774.428000,167265082,83007534,3485.517000,377591235,123013745
5800000,789.060000,168102868,83757341,785.352000,168102918,83757341,3553.117000,384673791,125324597
5900000,797.505000,176675400,89386306,794.476000,176675446,89386306,3648.325000,391745025,127631675
6000000,817.397000,179002786,90508162,816.484000,179002824,90508162,3681.312000,398824389,129941463
6100000,827.376000,178240301,92674762,822.373000,178240344,92674762,3777.833000,405902778,132250926
6200000,847.131000,192699692,93139204,844.612000,192699744,93139204,3846.886000,412996218,134565406
6300000,856.976000,191638550,96025766,854.655000,191638593,96025766,3891.556000,420084045,136878015
6400000,867.135000,191683507,93505335,862.723000,191683558,93505335,3970.374000,427187352,139195784
6500000,880.396000,199348546,91075305,878.888000,199348589,91075305,4041.814000,434283540,141511180
6600000,900.357000,197792489,96839834,892.004000,197792535,96839834,4141.184000,441389604,143829868
6700000,905.805000,203480692,99381285,900.779000,203480746,99381285,4205.255000,448497816,146149272
6800000,925.637000,203767971,99631049,924.030000,203768022,99631049,4303.174000,455620854,148473618
6900000,931.056000,203609560,101648826,927.574000,203609616,101648826,4385.361000,462713157,150787719
7000000,963.599000,211125076,100169445,958.813000,211125126,100169445,4410.551000,469838676,153112892
7100000,966.284000,207914474,103468793,963.004000,207914520,103468793,4514.205000,476963829,155437943
7200000,977.800000,225298007,120134262,976.106000,225298058,120134262,4626.073000,484089966,157763322
7300000,1002.315000,217141239,108877742,1003.425000,217141287,108877742,4692.932000,491206365,160085455
7400000,1016.199000,236457661,112394763,1016.087000,236457719,112394763,4767.287000,498335604,162411868
7500000,1030.380000,222663078,111444421,1027.742000,222663134,111444421,4860.016000,505462515,164737505
7600000,1040.039000,236712777,113189675,1030.263000,236712829,113189675,4969.637000,512595030,167065010
7700000,1058.806000,234708110,117360021,1059.699000,234708166,117360021,5051.188000,519732603,169394201
7800000,1073.322000,232507813,113544883,1068.633000,232507865,113544883,5108.671000,526867218,171722406
7900000,1088.857000,238931146,118923663,1089.396000,238931199,118923663,5208.344000,534008538,174052846
8000000,1101.284000,246347607,127454184,1093.839000,246347659,127454184,5281.029000,541169358,176389786
8100000,1126.195000,253399377,130964807,1121.326000,253399425,130964807,5378.633000,548302722,178717574
8200000,1132.091000,242127976,121179245,1128.964000,242128025,121179245,5625.118000,555458373,181052791
8300000,1157.295000,250091186,120085567,1148.451000,250091236,120085567,5615.088000,562610232,183386744
8400000,1169.981000,261790462,119817991,1163.782000,261790511,119817991,5538.944000,569763921,185721307
8500000,1173.341000,263214712,131024021,1166.965000,263214766,131024021,5659.920000,577027590,188092530
8600000,1189.952000,257008905,124573179,1190.223000,257008964,124573179,5724.116000,584292336,190464112
8700000,1199.806000,266296508,131755150,1195.521000,266296557,131755150,5819.226000,591559152,192836384
8800000,1210.362000,265819223,129814136,1202.799000,265819270,129814136,5890.945000,598830825,195210275
8900000,1244.484000,274873388,135380423,1238.008000,274873440,135380423,5987.059000,606122790,197590930
9000000,1249.295000,271367546,132038630,1246.940000,271367589,132038630,6067.536000,613415553,199971851
9100000,1259.592000,275056667,130180230,1254.147000,275056714,130180230,6154.043000,620698545,202349515
9200000,1281.746000,281059554,141057003,1289.017000,281059604,141057003,6281.681000,627998166,204732722
9300000,1296.938000,279052046,137592683,1294.389000,279052096,137592683,6322.472000,635286333,207112111
9400000,1300.454000,289088432,149602280,1299.493000,289088482,149602280,6414.580000,642607125,209502375
9500000,1332.111000,298322342,154540051,1335.750000,298322398,154540051,6494.553000,649910793,211886931
9600000,1353.489000,289185851,144708656,1346.733000,289185897,144708656,6620.965000,657224295,214274765
9700000,1341.430000,305125828,147043023,1336.082000,305125887,147043023,6657.132000,664523535,216657845
9800000,1369.259000,298138565,146736754,1374.048000,298138612,146736754,6773.590000,671852541,219050847
9900000,1375.765000,305325672,162056988,1374.719000,305325720,162056988,6849.569000,679187370,221445790
10000000,1401.017000,308123848,157502856,1398.594000,308123900,157502856,6905.345000,686508024,223836008
